property_id,title,price,address,details_link,image_url,property_type,bedroom_icon,no_of_bedrooms,bathroom_icon,no_of_bathrooms,span_count
146056748,3 bedroom semi-detached house for sale,"£500,000","Newton Lane, Whiteparish, Salisbury, Wiltshire",https://www.rightmove.co.uk/properties/146056748#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/146056748/8764_ROM210513_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
150070271,3 bedroom detached house for sale,"£495,000","Sequoia Lane, Romsey, Hampshire",https://www.rightmove.co.uk/properties/150070271#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/150070271/8764_ROM240388_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
144737750,4 bedroom detached house for sale,"£490,000","Benedict Close, Romsey, Hampshire",https://www.rightmove.co.uk/properties/144737750#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/144737750/8764_ROM240111_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
150202724,3 bedroom semi-detached house for sale,"£480,000","Sequoia Lane, Romsey, Hampshire",https://www.rightmove.co.uk/properties/150202724#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/150202724/8764_ROM240393_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
146502026,3 bedroom bungalow for sale,"£480,000","Spring Gardens, North Baddesley, Southampton, Hampshire",https://www.rightmove.co.uk/properties/146502026#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/146502026/8764_ROM240201_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
150514265,3 bedroom detached house for sale,"£480,000","Sequoia Lane, Romsey, Hampshire",https://www.rightmove.co.uk/properties/150514265#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/150514265/8764_ROM240412_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
149524700,3 bedroom detached bungalow for sale,"£475,000","Kingsclere Road, Whitchurch, Hampshire",https://www.rightmove.co.uk/properties/149524700#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/149524700/8764_ROM230157_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
141175025,2 bedroom detached bungalow for sale,"£475,000","Partridge Hill, Landford, Salisbury, Wiltshire",https://www.rightmove.co.uk/properties/141175025#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/141175025/8764_ROM230534_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
150860672,3 bedroom detached bungalow for sale,"£475,000","Salisbury Road, West Wellow, Romsey, Hampshire",https://www.rightmove.co.uk/properties/150860672#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/150860672/8764_ROM240406_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
150407414,5 bedroom semi-detached house for sale,"£475,000","Tottehale Close, North Baddesley, Hampshire",https://www.rightmove.co.uk/properties/150407414#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/150407414/8764_ROM160390_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
146544728,4 bedroom detached house for sale,"£475,000","Watley Close, Nursling, Southampton, Hampshire",https://www.rightmove.co.uk/properties/146544728#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/146544728/8764_ROM240195_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
140953982,2 bedroom detached bungalow for sale,"£475,000","Kooyong Close, East Wellow, Romsey, Hampshire",https://www.rightmove.co.uk/properties/140953982#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/140953982/8764_ROM230299_IMG_13_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
150013685,3 bedroom semi-detached house for sale,"£475,000","Hop Gardens, Whiteparish, Salisbury, Wiltshire",https://www.rightmove.co.uk/properties/150013685#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/150013685/8764_ROM240345_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
143738924,3 bedroom detached house for sale,"£450,000","Doris Bunting Road, Ampfield, Romsey, Hampshire",https://www.rightmove.co.uk/properties/143738924#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/143738924/8764_ROM230174_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
86777892,3 bedroom semi-detached house for sale,"£450,000","Northlands Road, Romsey",https://www.rightmove.co.uk/properties/86777892#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/86777892/8764_ROM210189_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
144794444,3 bedroom detached bungalow for sale,"£450,000","Dibble Drive, North Baddesley, Southampton, Hampshire",https://www.rightmove.co.uk/properties/144794444#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/144794444/8764_ROM230415_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
149337731,2 bedroom apartment for sale,"£450,000","Newton Lane, Romsey, Hampshire",https://www.rightmove.co.uk/properties/149337731#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/149337731/8764_ROM240344_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
143965010,3 bedroom semi-detached house for sale,"£450,000","Winchester Road, Romsey, Hampshire",https://www.rightmove.co.uk/properties/143965010#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/143965010/8764_ROM230461_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
146503160,5 bedroom semi-detached house for sale,"£450,000","Withers Road, Romsey, Hampshire",https://www.rightmove.co.uk/properties/146503160#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/146503160/8764_ROM200348_IMG_17_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
145142738,4 bedroom semi-detached house for sale,"£450,000","The Thicket, Romsey, Hampshire",https://www.rightmove.co.uk/properties/145142738#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/145142738/8764_ROM230170_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
145160621,3 bedroom detached house for sale,"£450,000","Walnut Close, Braishfield, Romsey, Hampshire",https://www.rightmove.co.uk/properties/145160621#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/145160621/8764_ROM240108_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
147539597,3 bedroom terraced house for sale,"£450,000","Botley Road, Romsey, Hampshire",https://www.rightmove.co.uk/properties/147539597#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/147539597/8764_ROM230294_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
147435854,4 bedroom detached house for sale,"£450,000","Brookfields, West Wellow, Romsey, Hampshire",https://www.rightmove.co.uk/properties/147435854#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/147435854/8764_ROM230005_IMG_16_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
148405202,3 bedroom detached house for sale,"£450,000","Doris Bunting Road, Ampfield, Romsey, Hampshire",https://www.rightmove.co.uk/properties/148405202#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/148405202/8764_ROM220457_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
146932205,4 bedroom semi-detached house for sale,"£450,000","Ganger Farm Way, Ampfield, Romsey, Hampshire",https://www.rightmove.co.uk/properties/146932205#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/146932205/8764_ROM240112_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
